triple_id,protein_id,selection_id,expected_class,method,R_model_kcal_mol,decision,outcome
triple_019,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_mathematical,-405485.4231672567,Ca-supported,correct
triple_019,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_operational,-405485.4231672567,Ca-supported,correct
triple_019,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_origin,-405494.47702370014,Ca-supported,correct
triple_019,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,released_static,-405492.96858367196,Ca-supported,correct
triple_019,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,tenfold_precision,-405482.64081090555,Ca-supported,correct
triple_019,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,tenfold_strict,-405482.64118324145,Ca-supported,correct
triple_019,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,threefold3p5,-405482.64081090555,Ca-supported,correct
triple_020,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,envelope_mathematical,-405435.9417208932,La-supported,correct
triple_020,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,envelope_operational,-405435.9417208932,La-supported,correct
triple_020,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,envelope_origin,-405438.7429294598,La-supported,correct
triple_020,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,released_static,-405438.5586343447,La-supported,correct
triple_020,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,tenfold_precision,-405436.1791406948,La-supported,correct
triple_020,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,tenfold_strict,-405436.17902176105,La-supported,correct
triple_020,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,threefold3p5,-405436.1791406948,La-supported,correct
triple_021,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,envelope_mathematical,-405435.9417208932,La-supported,correct
triple_021,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,envelope_operational,-405435.9417208932,La-supported,correct
triple_021,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,envelope_origin,-405438.7429294598,La-supported,correct
triple_021,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,released_static,-405438.5586343447,La-supported,correct
triple_021,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,tenfold_precision,-405436.1791406948,La-supported,correct
triple_021,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,tenfold_strict,-405436.17902176105,La-supported,correct
triple_021,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,threefold3p5,-405436.1791406948,La-supported,correct
triple_022,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,envelope_mathematical,-405442.8169553422,La-supported,correct
triple_022,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,envelope_operational,-405442.8169553422,La-supported,correct
triple_022,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,envelope_origin,-405443.59339367296,La-supported,correct
triple_022,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,released_static,-405440.06205581996,La-supported,correct
triple_022,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,tenfold_precision,-405437.7305880537,La-supported,correct
triple_022,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,tenfold_strict,-405437.757312537,La-supported,correct
triple_022,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,threefold3p5,-405437.7305880537,La-supported,correct
triple_023,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,envelope_mathematical,-405442.8169553422,La-supported,correct
triple_023,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,envelope_operational,-405442.8169553422,La-supported,correct
triple_023,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,envelope_origin,-405443.59339367296,La-supported,correct
triple_023,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,released_static,-405440.06205581996,La-supported,correct
triple_023,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,tenfold_precision,-405437.7305880537,La-supported,correct
triple_023,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,tenfold_strict,-405437.757312537,La-supported,correct
triple_023,c5atj3-pqq-la_model,c5atj3-pqq-la_model__envelope_531a4a67d5ba9360,La,threefold3p5,-405437.7305880537,La-supported,correct
triple_024,c5axv8-pqq-la_model,c5axv8-pqq-la_model__envelope_aa36ec84c4cbdc62,La,envelope_mathematical,-405449.3636766567,La-supported,correct
triple_024,c5axv8-pqq-la_model,c5axv8-pqq-la_model__envelope_aa36ec84c4cbdc62,La,envelope_operational,-405449.3636766567,La-supported,correct
