case_id,protein_id,selection_id,expected_class,method,R_model_kcal_mol,decision,outcome
a8r3s4-pqq-la_model__conditioned_La__seed-1_sample-3,a8r3s4-pqq-la_model,a8r3s4-pqq-la_model__envelope_5eba0c9b39ead1ee,Ca,tenfold_strict,-405467.34947838023,Ca-supported,correct
a8r3s4-pqq-la_model__conditioned_La__seed-1_sample-4,a8r3s4-pqq-la_model,a8r3s4-pqq-la_model__envelope_5eba0c9b39ead1ee,Ca,envelope_mathematical,-405479.8710912552,Ca-supported,correct
a8r3s4-pqq-la_model__conditioned_La__seed-1_sample-4,a8r3s4-pqq-la_model,a8r3s4-pqq-la_model__envelope_5eba0c9b39ead1ee,Ca,envelope_operational,-405479.8710912552,Ca-supported,correct
a8r3s4-pqq-la_model__conditioned_La__seed-1_sample-4,a8r3s4-pqq-la_model,a8r3s4-pqq-la_model__envelope_5eba0c9b39ead1ee,Ca,envelope_origin,-405485.5646874005,Ca-supported,correct
a8r3s4-pqq-la_model__conditioned_La__seed-1_sample-4,a8r3s4-pqq-la_model,a8r3s4-pqq-la_model__envelope_5eba0c9b39ead1ee,Ca,released_static,-405476.918550582,Ca-supported,correct
a8r3s4-pqq-la_model__conditioned_La__seed-1_sample-4,a8r3s4-pqq-la_model,a8r3s4-pqq-la_model__envelope_5eba0c9b39ead1ee,Ca,tenfold_precision,-405476.41882267414,Ca-supported,correct
a8r3s4-pqq-la_model__conditioned_La__seed-1_sample-4,a8r3s4-pqq-la_model,a8r3s4-pqq-la_model__envelope_5eba0c9b39ead1ee,Ca,tenfold_strict,-405476.42133032746,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-1,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,envelope_mathematical,-405484.8978447319,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-1,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,envelope_operational,-405484.8978447319,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-1,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,envelope_origin,-405492.90278772597,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-1,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,released_static,-405493.7503391556,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-1,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,tenfold_precision,-405485.3942981285,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-1,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,tenfold_strict,-405485.3615528914,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-2,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,envelope_mathematical,-405484.67379950697,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-2,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,envelope_operational,-405484.67379950697,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-2,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,envelope_origin,-405490.4174543347,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-2,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,released_static,-405491.47979093815,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-2,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,tenfold_precision,-405485.32517954294,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-2,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,tenfold_strict,-405485.3286868904,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-3,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,envelope_mathematical,-405489.32005756,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-3,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,envelope_operational,-405489.32005756,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-3,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,envelope_origin,-405495.8789875044,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-3,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,released_static,-405497.12697468954,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-3,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,tenfold_precision,-405490.31919507164,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-3,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,tenfold_strict,-405490.3005299379,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-4,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,envelope_mathematical,-405486.251157077,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-4,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,envelope_operational,-405486.251157077,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-4,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,envelope_origin,-405497.31716124975,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-4,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,released_static,-405499.7635577071,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-4,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,tenfold_precision,-405486.73956671625,Ca-supported,correct
atq70401.1-pqq-la_model__conditioned_La__seed-1_sample-4,atq70401.1-pqq-la_model,atq70401.1-pqq-la_model__envelope_1de9a1c85821aa97,Ca,tenfold_strict,-405488.4033164783,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-0,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_mathematical,-405486.357469811,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-0,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_operational,-405486.357469811,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-0,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_origin,-405491.07423442893,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-0,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,released_static,-405490.12318273896,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-0,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,tenfold_precision,-405482.13126279565,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-0,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,tenfold_strict,-405482.1325064253,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-1,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_mathematical,-405485.4231672567,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-1,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_operational,-405485.4231672567,Ca-supported,correct
bbl57595.1-pqq-la_model__conditioned_La__seed-1_sample-1,bbl57595.1-pqq-la_model,bbl57595.1-pqq-la_model__envelope_58e1b3ec0c1917b9,Ca,envelope_origin,-405494.5857913799,Ca-supported,correct
